주문번호,주문일,상품코드,수량,판매단가,주문상태
O2027060436,2027-06-23 20:32,P0167,2,80300,배송 완료
O2027060437,2027/06/30 07:49,P0196,3,132600,배송 완료
O2027060438,2027.06.07 18:06,P0226,4,22500,결제 완료
O2027060439,06/14/2027 05:23,P0255,5,65300,배송 완료
O2027060440,2027-06-21 16:40,P0285,1,89000,배송 완료
O2027060441,2027/06/28 03:57,P0314,2,141100,결제 완료
O2027060442,2027.06.05 14:14,P0019,3,25600,배송 완료
O2027060443,06/12/2027 01:31,P0048,4,66800,배송 완료
O2027060444,2027-06-19 12:48,P0078,5,87000,결제 완료
O2027060445,2027/06/26 23:05,P0107,1,7000,배송 완료
O2027060446,2027.06.03 10:22,P0136,2,49000,배송 완료
O2027060447,06/10/2027 21:39,P0166,3,77300,결제 완료
O2027060448,2027-06-17 08:56,P0195,4,128600,배송 완료
O2027060449,2027/06/24 19:13,P0225,5,20800,배송 완료
O2027060450,2027.06.01 06:30,P0254,1,62700,결제 완료
O2027060451,06/08/2027 17:47,P0284,2,85700,배송 완료
O2027060452,2027-06-15 04:04,P0313,3,136900,배송 완료
O2027060453,2027/06/22 15:21,P0018,4,23900,결제 완료
O2027060454,2027.06.29 02:38,P0047,5,64100,배송 완료
O2027060455,06/06/2027 13:55,P0077,1,116100,배송 완료
O2027060456,2027-06-13 00:12,P0106,2,5600,결제 완료
O2027060457,2027/06/20 11:29,P0135,3,46800,배송 완료
O2027060458,2027.06.27 22:46,P0165,4,74300,배송 완료
O2027060459,06/04/2027 09:03,P0194,5,124800,결제 완료
O2027060460,2027-06-11 20:20,P0224,1,19300,배송 완료
O2027060461,2027/06/18 07:37,P0253,2,60100,배송 완료
O2027060462,2027.06.25 18:54,P0283,3,82600,결제 완료
O2027060463,06/02/2027 05:11,P0312,4,132800,배송 완료
O2027060464,2027-06-09 16:28,P0017,5,22200,배송 완료
O2027060465,2027/06/16 03:45,P0046,1,61500,결제 완료
O2027060466,2027.06.23 14:02,P0076,2,112400,배송 완료
O2027060467,06/30/2027 01:19,P0105,3,129100,배송 완료
O2027060468,2027-06-07 12:36,P0134,4,44500,결제 완료
O2027060469,2027/06/14 23:53,P0164,5,71500,배송 완료
O2027060470,2027.06.21 10:10,P0193,1,120900,배송 완료
O2027060471,06/28/2027 21:27,P0223,2,17700,결제 완료
O2027060472,2027-06-05 08:44,P0252,3,57600,배송 완료
O2027060473,2027/06/12 19:01,P0282,4,79400,배송 완료
O2027060474,2027.06.19 06:18,P0311,5,128600,결제 완료
O2027060475,06/26/2027 17:35,P0016,1,28700,배송 완료
O2027060476,2027-06-03 04:52,P0045,2,58900,배송 완료
O2027060477,2027/06/10 15:09,P0074,3,107500,결제 완료
O2027060478,2027.06.17 02:26,P0104,4,124900,배송 완료
O2027060479,06/24/2027 13:43,P0133,5,42200,배송 완료
O2027060480,2027-06-01 00:00,P0163,1,68600,결제 완료
O2027060481,2027/06/08 11:17,P0192,2,117000,배송 완료
O2027060482,2027.06.15 22:34,P0222,3,16100,배송 완료
O2027060483,06/22/2027 09:51,P0251,4,55100,결제 완료
O2027060484,2027-06-29 20:08,P0281,5,105800,배송 완료
O2027060485,2027/06/06 07:25,P0310,1,124500,배송 완료
O2027060486,2027.06.13 18:42,P0015,2,26800,결제 완료
O2027060487,06/20/2027 05:59,P0044,3,56400,배송 완료
O2027060488,2027-06-27 16:16,P0073,4,104000,배송 완료
O2027060489,2027/06/04 03:33,P0103,5,120800,결제 완료
O2027060490,2027.06.11 14:50,P0132,1,40000,배송 완료
O2027060491,06/18/2027 01:07,P0162,2,65800,배송 완료
O2027060492,2027-06-25 12:24,P0191,3,113300,결제 완료
O2027060493,2027/06/02 23:41,P0221,4,14700,배송 완료
O2027060494,2027.06.09 10:58,P0250,5,52700,배송 완료
O2027060495,06/16/2027 21:15,P0280,1,102300,결제 완료
O2027060496,2027-06-23 08:32,P0309,2,120600,배송 완료
O2027060497,2027/06/30 19:49,P0014,3,24800,배송 완료
O2027060498,2027.06.07 06:06,P0043,4,53900,결제 완료
O2027060499,06/14/2027 17:23,P0072,5,100600,배송 완료
O2027060500,2027-06-21 04:40,P0102,1,116700,배송 완료
O2027060501,2027/06/28 15:57,P0131,2,37900,결제 완료
O2027060502,2027.06.05 02:14,P0161,3,63100,배송 완료
O2027060503,06/12/2027 13:31,P0190,4,109600,배송 완료
O2027060504,2027-06-19 00:48,P0220,5,18500,결제 완료
O2027060505,2027/06/26 11:05,P0249,1,50300,배송 완료
O2027060506,2027.06.03 22:22,P0279,2,99000,배송 완료
O2027060507,06/10/2027 09:39,P0308,3,116600,결제 완료
O2027060508,2027-06-17 20:56,P0013,4,23000,배송 완료
O2027060509,2027/06/24 07:13,P0042,5,51500,배송 완료
O2027060510,2027.06.01 18:30,P0071,1,97200,결제 완료
O2027060511,06/08/2027 05:47,P0101,2,112800,배송 완료
O2027060512,2027-06-15 16:04,P0130,3,35900,배송 완료
O2027060513,2027/06/22 03:21,P0160,4,83800,결제 완료
O2027060514,2027.06.29 14:38,P0189,5,106000,배송 완료
O2027060515,06/06/2027 01:55,P0219,1,16800,배송 완료
O2027060516,2027-06-13 12:12,P0248,2,47900,결제 완료
O2027060517,2027/06/20 23:29,P0278,3,95600,배송 완료
O2027060518,2027.06.27 10:46,P0307,4,112700,배송 완료
O2027060519,06/04/2027 21:03,P0012,5,21300,결제 완료
O2027060520,2027-06-11 08:20,P0041,1,49100,배송 완료
O2027060521,2027/06/18 19:37,P0070,2,93800,배송 완료
O2027060522,2027.06.25 06:54,P0100,3,108800,결제 완료
O2027060523,06/02/2027 17:11,P0129,4,33800,배송 완료
O2027060524,2027-06-09 04:28,P0159,5,80800,배송 완료
O2027060525,2027/06/16 15:45,P0188,1,102300,결제 완료
O2027060526,2027.06.23 02:02,P0218,2,15000,배송 완료
O2027060527,06/30/2027 13:19,P0247,3,45700,배송 완료
O2027060528,2027-06-07 00:36,P0277,4,92400,결제 완료
O2027060529,2027/06/14 11:53,P0306,5,108800,배송 완료
O2027060530,2027.06.21 22:10,P0011,1,19500,배송 완료
O2027060531,06/28/2027 09:27,P0040,2,46800,결제 완료
O2027060532,2027-06-05 20:44,P0069,3,90500,배송 완료
O2027060533,2027/06/12 07:01,P0099,4,146100,배송 완료
O2027060534,2027.06.19 18:18,P0128,5,31800,결제 완료
O2027060535,06/26/2027 05:35,P0158,1,77800,배송 완료
O2027060536,2027-06-03 16:52,P0187,2,98900,배송 완료
O2027060537,2027/06/10 03:09,P0217,3,13400,결제 완료
O2027060538,2027.06.17 14:26,P0246,4,43500,배송 완료
O2027060539,06/24/2027 01:43,P0276,5,89100,배송 완료
O2027060540,2027-06-01 12:00,P0305,1,105100,결제 완료
O2027060541,2027/06/08 23:17,P0010,2,17800,배송 완료
O2027060542,2027.06.15 10:34,P0039,3,61800,배송 완료
O2027060543,06/22/2027 21:51,P0068,4,87400,결제 완료
O2027060544,2027-06-29 08:08,P0098,5,141900,배송 완료
O2027060545,2027/06/06 19:25,P0127,1,30000,배송 완료
O2027060546,2027.06.13 06:42,P0157,2,75000,결제 완료
O2027060547,06/20/2027 17:59,P0186,3,95400,배송 완료
O2027060548,2027-06-27 04:16,P0216,4,11900,배송 완료
O2027060549,2027/06/04 15:33,P0245,5,41300,결제 완료
O2027060550,2027.06.11 02:50,P0275,1,86000,배송 완료
O2027060551,06/18/2027 13:07,P0304,2,101300,배송 완료
O2027060552,2027-06-25 00:24,P0009,3,16300,결제 완료
O2027060553,2027/06/02 11:41,P0038,4,59300,배송 완료
O2027060554,2027.06.09 22:58,P0067,5,84200,배송 완료
O2027060555,06/16/2027 09:15,P0097,1,137700,결제 완료
O2027060556,2027-06-23 20:32,P0126,2,28100,배송 완료
O2027060557,2027/06/30 07:49,P0156,3,72100,배송 완료
O2027060558,2027.06.07 18:06,P0185,4,91900,결제 완료
O2027060559,06/14/2027 05:23,P0214,5,9000,배송 완료
O2027060560,2027-06-21 16:40,P0244,1,39200,배송 완료
O2027060561,2027/06/28 03:57,P0274,2,82900,결제 완료
O2027060562,2027.06.05 14:14,P0303,3,135900,배송 완료
O2027060563,06/12/2027 01:31,P0008,4,14700,배송 완료
O2027060564,2027-06-19 12:48,P0037,5,56700,결제 완료
O2027060565,2027/06/26 23:05,P0066,1,81100,배송 완료
O2027060566,2027.06.03 10:22,P0096,2,133600,배송 완료
O2027060567,06/10/2027 21:39,P0125,3,26300,결제 완료
O2027060568,2027-06-17 08:56,P0155,4,69300,배송 완료
O2027060569,2027/06/24 19:13,P0184,5,88500,배송 완료
O2027060570,2027.06.01 06:30,P0213,1,7600,결제 완료
O2027060571,06/08/2027 17:47,P0243,2,51500,배송 완료
O2027060572,2027-06-15 04:04,P0273,3,79800,배송 완료
O2027060573,2027/06/22 15:21,P0302,4,131800,결제 완료
O2027060574,2027.06.29 02:38,P0007,5,13200,배송 완료
O2027060575,06/06/2027 13:55,P0036,1,54200,배송 완료
O2027060576,2027-06-13 00:12,P0065,2,78000,결제 완료
O2027060577,2027/06/20 11:29,P0095,3,129500,배송 완료
O2027060578,2027.06.27 22:46,P0124,4,24600,배송 완료
O2027060579,06/04/2027 09:03,P0154,5,66500,결제 완료
O2027060580,2027-06-11 20:20,P0183,1,85300,배송 완료
O2027060581,2027/06/18 07:37,P0212,2,6200,배송 완료
O2027060582,2027.06.25 18:54,P0242,3,49200,결제 완료
O2027060583,06/02/2027 05:11,P0272,4,76900,배송 완료
O2027060584,2027-06-09 16:28,P0301,5,127900,배송 완료
O2027060585,2027/06/16 03:45,P0006,1,11700,결제 완료
O2027060586,2027.06.23 14:02,P0035,2,51800,배송 완료
O2027060587,06/30/2027 01:19,P0064,3,75000,배송 완료
O2027060588,2027-06-07 12:36,P0094,4,125600,결제 완료
O2027060589,2027/06/14 23:53,P0123,5,22900,배송 완료
O2027060590,2027.06.21 10:10,P0153,1,63900,배송 완료
O2027060591,06/28/2027 21:27,P0182,2,114100,결제 완료
O2027060592,2027-06-05 08:44,P0211,3,131000,배송 완료
O2027060593,2027/06/12 19:01,P0241,4,46800,배송 완료
O2027060594,2027.06.19 06:18,P0271,5,73900,결제 완료
O2027060595,06/26/2027 17:35,P0300,1,124000,배송 완료
O2027060596,2027-06-03 04:52,P0005,2,10400,배송 완료
O2027060597,2027/06/10 15:09,P0034,3,49400,결제 완료
O2027060598,2027.06.17 02:26,P0063,4,72100,배송 완료
O2027060599,06/24/2027 13:43,P0093,5,121600,배송 완료
O2027060600,2027-06-01 00:00,P0122,1,29500,취소
O2027060601,2027/06/08 11:17,P0152,2,61200,취소
O2027060602,2027.06.15 22:34,P0181,3,110500,취소
O2027060603,06/22/2027 09:51,P0210,4,126800,취소
O2027060604,2027-06-29 20:08,P0240,5,44500,취소
O2027060605,2027/06/06 07:25,P0270,1,71000,취소
O2027060606,2027.06.13 18:42,P0299,2,120100,취소
O2027060607,06/20/2027 05:59,P0004,3,9000,취소
O2027060608,2027-06-27 16:16,P0033,4,47100,취소
O2027060609,2027/06/04 03:33,P0062,5,69200,취소
O2027060610,2027.06.11 14:50,P0092,1,117700,취소
O2027060611,06/18/2027 01:07,P0121,2,27500,취소
O2027060612,2027-06-25 12:24,P0151,3,58700,취소
O2027060613,2027/06/02 23:41,P0180,4,106900,취소
O2027060614,2027.06.09 10:58,P0209,5,122800,취소
O2027060615,06/16/2027 21:15,P0239,1,42200,취소
O2027060616,2027-06-23 08:32,P0269,2,68200,취소
O2027060617,2027/06/30 19:49,P0298,3,116300,취소
O2027060618,2027.06.07 06:06,P0003,4,7700,취소
O2027060619,06/14/2027 17:23,P0032,5,44800,취소
O2027060620,2027-06-21 04:40,P0061,1,92400,취소
O2027060621,2027/06/28 15:57,P0091,2,113800,취소
O2027060622,2027.06.05 02:14,P0120,3,25700,취소
O2027060623,06/12/2027 13:31,P0150,4,56100,취소
O2027060624,2027-06-19 00:48,P0179,5,103500,취소
O2027060625,2027/06/26 11:05,P0208,1,118700,취소
O2027060626,2027.06.03 22:22,P0238,2,40100,취소
O2027060627,06/10/2027 09:39,P0268,3,65400,취소
O2027060628,2027-06-17 20:56,P0297,4,112600,취소
O2027060629,2027/06/24 07:13,P0002,5,8900,취소
O2027060630,2027.06.01 18:30,P0031,1,42700,취소
O2027060631,06/08/2027 05:47,P0060,2,89200,배송 완료
O2027060632,2027-06-15 16:04,P0090,3,110100,배송 완료
O2027060633,2027/06/22 03:21,P0119,4,23800,결제 완료
O2027060634,2027.06.29 14:38,P0149,5,53700,배송 완료
O2027060635,06/06/2027 01:55,P0178,1,100000,배송 완료
O2027060636,2027-06-13 12:12,P0207,2,114600,결제 완료
O2027060637,2027/06/20 23:29,P0237,3,38000,배송 완료
O2027060638,2027.06.27 10:46,P0267,4,62700,배송 완료
O2027060639,06/04/2027 21:03,P0296,5,108800,결제 완료
O2027060640,2027-06-11 08:20,P0001,1,7400,배송 완료
O2027060641,2027/06/18 19:37,P0030,2,40500,배송 완료
O2027060642,2027.06.25 06:54,P0059,3,86000,결제 완료
O2027060643,06/02/2027 17:11,P0089,4,106300,배송 완료
O2027060644,2027-06-09 04:28,P0118,5,22000,배송 완료
O2027060645,2027/06/16 15:45,P0147,1,50200,결제 완료
O2027060646,2027.06.23 02:02,P0177,2,96600,배송 완료
O2027060647,06/30/2027 13:19,P0206,3,110600,배송 완료
O2027060648,2027-06-07 00:36,P0236,4,35900,결제 완료
O2027060649,2027/06/14 11:53,P0266,5,83500,배송 완료
O2027060650,2027.06.21 22:10,P0295,1,105200,배송 완료
O2027060651,06/28/2027 09:27,P0324,2,15800,결제 완료
O2027060652,2027-06-05 20:44,P0029,3,38400,배송 완료
O2027060653,2027/06/12 07:01,P0058,4,82900,배송 완료
O2027060654,2027.06.19 18:18,P0088,5,102600,결제 완료
O2027060655,06/26/2027 05:35,P0117,1,20200,배송 완료
O2027060656,2027-06-03 16:52,P0146,2,47900,배송 완료
O2027060657,2027/06/10 03:09,P0176,3,93300,결제 완료
O2027060658,2027.06.17 14:26,P0205,4,148100,배송 완료
O2027060659,06/24/2027 01:43,P0235,5,34000,배송 완료
O2027060660,2027-06-01 12:00,P0265,1,80500,결제 완료
O2027060661,2027/06/08 23:17,P0294,2,101700,배송 완료
O2027060662,2027.06.15 10:34,P0323,3,14100,배송 완료
O2027060663,06/22/2027 21:51,P0028,4,36300,결제 완료
O2027060664,2027-06-29 08:08,P0057,5,80000,배송 완료
O2027060665,2027/06/06 19:25,P0087,1,99100,배송 완료
O2027060666,2027.06.13 06:42,P0116,2,18600,결제 완료
O2027060667,06/20/2027 17:59,P0145,3,45600,배송 완료
O2027060668,2027-06-27 04:16,P0175,4,90100,배송 완료
O2027060669,2027/06/04 15:33,P0204,5,143800,결제 완료
O2027060670,2027.06.11 02:50,P0234,1,32000,배송 완료
O2027060671,06/18/2027 13:07,P0264,2,77600,배송 완료
O2027060672,2027-06-25 00:24,P0293,3,98100,결제 완료
O2027060673,2027/06/02 11:41,P0322,4,12500,배송 완료
O2027060674,2027.06.09 22:58,P0027,5,34400,배송 완료
O2027060675,06/16/2027 09:15,P0056,1,77000,결제 완료
O2027060676,2027-06-23 20:32,P0086,2,95500,배송 완료
O2027060677,2027/06/30 07:49,P0115,3,16900,배송 완료
O2027060678,2027.06.07 18:06,P0144,4,60400,결제 완료
O2027060679,06/14/2027 05:23,P0174,5,86800,배송 완료
O2027060680,2027-06-21 16:40,P0203,1,139600,배송 완료
O2027060681,2027/06/28 03:57,P0233,2,30100,결제 완료
O2027060682,2027.06.05 14:14,P0263,3,74700,배송 완료
O2027060683,06/12/2027 01:31,P0292,4,94600,배송 완료
O2027060684,2027-06-19 12:48,P0321,5,10900,결제 완료
O2027060685,2027/06/26 23:05,P0026,1,32400,배송 완료
O2027060686,2027.06.03 10:22,P0055,2,74100,배송 완료
O2027060687,06/10/2027 21:39,P0085,3,127500,결제 완료
O2027060688,2027-06-17 08:56,P0114,4,15300,배송 완료
O2027060689,2027/06/24 19:13,P0143,5,57800,배송 완료
O2027060690,2027.06.01 06:30,P0173,1,83600,결제 완료
O2027060691,06/08/2027 17:47,P0202,2,135400,배송 완료
O2027060692,2027-06-15 04:04,P0232,3,28200,배송 완료
O2027060693,2027/06/22 15:21,P0262,4,71800,결제 완료
O2027060694,2027.06.29 02:38,P0291,5,91200,배송 완료
O2027060695,06/06/2027 13:55,P0320,1,9500,배송 완료
O2027060696,2027-06-13 00:12,P0025,2,30600,결제 완료
O2027060697,2027/06/20 11:29,P0054,3,71200,배송 완료
O2027060698,2027.06.27 22:46,P0084,4,123600,배송 완료
O2027060699,06/04/2027 09:03,P0113,5,13800,결제 완료
O2027060700,2027-06-11 20:20,P0142,1,55300,배송 완료
O2027060701,2027/06/18 07:37,P0172,2,80600,배송 완료
O2027060702,2027.06.25 18:54,P0201,3,131400,결제 완료
O2027060703,06/02/2027 05:11,P0231,4,26500,배송 완료
O2027060704,2027-06-09 16:28,P0261,5,69100,배송 완료
O2027060705,2027/06/16 03:45,P0290,1,87900,결제 완료
O2027060706,2027.06.23 14:02,P0319,2,8000,배송 완료
O2027060707,06/30/2027 01:19,P0024,3,40100,배송 완료
O2027060708,2027-06-07 12:36,P0053,4,68500,결제 완료
O2027060709,2027/06/14 23:53,P0083,5,119900,배송 완료
O2027060710,2027.06.21 10:10,P0112,1,12300,배송 완료
O2027060711,06/28/2027 21:27,P0141,2,52900,결제 완료
O2027060712,2027-06-05 08:44,P0171,3,77500,배송 완료
O2027060713,2027/06/12 19:01,P0200,4,127400,배송 완료
O2027060714,2027.06.19 06:18,P0230,5,24700,결제 완료
O2027060715,06/26/2027 17:35,P0259,1,65100,배송 완료
O2027060716,2027-06-03 04:52,P0289,2,117200,배송 완료
O2027060717,2027/06/10 15:09,P0318,3,6600,결제 완료
O2027060718,2027.06.17 02:26,P0023,4,37900,배송 완료
O2027060719,06/24/2027 13:43,P0052,5,65700,배송 완료
O2027060720,2027-06-01 00:00,P0082,1,116100,결제 완료
O2027060721,2027/06/08 11:17,P0111,2,10900,배송 완료
O2027060722,2027.06.15 22:34,P0140,3,50400,배송 완료
O2027060723,06/22/2027 09:51,P0170,4,74500,결제 완료
O2027060724,2027-06-29 20:08,P0199,5,123400,배송 완료
O2027060725,2027/06/06 07:25,P0229,1,23000,배송 완료
O2027060726,2027.06.13 18:42,P0258,2,62400,결제 완료
O2027060727,06/20/2027 05:59,P0288,3,113500,배송 완료
O2027060728,2027-06-27 16:16,P0317,4,5200,배송 완료
O2027060729,2027/06/04 03:33,P0022,5,35700,결제 완료
O2027060730,2027.06.11 14:50,P0051,1,63000,배송 완료
O2027060731,06/18/2027 01:07,P0081,2,112400,배송 완료
O2027060732,2027-06-25 12:24,P0110,3,9500,결제 완료
O2027060733,2027/06/02 23:41,P0139,4,48100,배송 완료
O2027060734,2027.06.09 10:58,P0169,5,71500,배송 완료
O2027060735,06/16/2027 21:15,P0198,1,119500,결제 완료
O2027060736,2027-06-23 08:32,P0228,2,29800,배송 완료
O2027060737,2027/06/30 19:49,P0257,3,59900,배송 완료
O2027060738,2027.06.07 06:06,P0287,4,110000,결제 완료
O2027060739,06/14/2027 17:23,P0316,5,125800,배송 완료
O2027060740,2027-06-21 04:40,P0021,1,33700,배송 완료
O2027060741,2027/06/28 15:57,P0050,2,60400,결제 완료
O2027060742,2027.06.05 02:14,P0080,3,108800,배송 완료
O2027060743,06/12/2027 13:31,P0109,4,8300,배송 완료
O2027060744,2027-06-19 00:48,P0138,5,45900,결제 완료
O2027060745,2027/06/26 11:05,P0168,1,95300,배송 완료
O2027060746,2027.06.03 22:22,P0197,2,115600,배송 완료
O2027060747,06/10/2027 09:39,P0227,3,27900,결제 완료
O2027060748,2027-06-17 20:56,P0256,4,57300,배송 완료
O2027060749,2027/06/24 07:13,P0286,5,106400,배송 완료
O2027060750,2027.06.01 18:30,P0315,1,121700,결제 완료
O2027060751,06/08/2027 05:47,P0020,2,31700,배송 완료
O2027060752,2027-06-15 16:04,P0049,3,57800,배송 완료
O2027060753,2027/06/22 03:21,P0079,4,105200,결제 완료
O2027060754,2027.06.29 14:38,P0108,5,7000,배송 완료
O2027060755,06/06/2027 01:55,P0137,1,43600,배송 완료
O2027060756,2027-06-13 12:12,P0167,2,92000,결제 완료
O2027060757,2027/06/20 23:29,P0196,3,111800,배송 완료
O2027060758,2027.06.27 10:46,P0226,4,25900,배송 완료
O2027060759,06/04/2027 21:03,P0255,5,54800,결제 완료
O2027060760,2027-06-11 08:20,P0285,1,102900,배송 완료
O2027060761,2027/06/18 19:37,P0314,2,117600,배송 완료
O2027060762,2027.06.25 06:54,P0019,3,29800,결제 완료
O2027060763,06/02/2027 17:11,P0048,4,55300,배송 완료
O2027060764,2027-06-09 04:28,P0078,5,101700,배송 완료
O2027060765,2027/06/16 15:45,P0107,1,8000,결제 완료
O2027060766,2027.06.23 02:02,P0136,2,41400,배송 완료
O2027060767,06/30/2027 13:19,P0166,3,88800,배송 완료
O2027060768,2027-06-07 00:36,P0195,4,108000,결제 완료
O2027060769,2027/06/14 11:53,P0225,5,24100,배송 완료
O2027060770,2027.06.21 22:10,P0254,1,52300,배송 완료
O2027060771,06/28/2027 09:27,P0284,2,99500,결제 완료
O2027060772,2027-06-05 20:44,P0313,3,113600,배송 완료
O2027060773,2027/06/12 07:01,P0018,4,27800,배송 완료
O2027060774,2027.06.19 18:18,P0047,5,73200,결제 완료
O2027060775,06/26/2027 05:35,P0077,1,98200,배송 완료
O2027060776,2027-06-03 16:52,P0106,2,6500,배송 완료
O2027060777,2027/06/10 03:09,P0135,3,39400,결제 완료
O2027060778,2027.06.17 14:26,P0165,4,85700,배송 완료
O2027060779,06/24/2027 01:43,P0194,5,104400,배송 완료
O2027060780,2027-06-01 12:00,P0224,1,22300,결제 완료
O2027060781,2027/06/08 23:17,P0253,2,50000,배송 완료
O2027060782,2027.06.15 10:34,P0283,3,96100,배송 완료
O2027060783,06/22/2027 21:51,P0312,4,109700,결제 완료
O2027060784,2027-06-29 08:08,P0017,5,26000,배송 완료
O2027060785,2027/06/06 19:25,P0046,1,70500,배송 완료
O2027060786,2027.06.13 06:42,P0076,2,94800,결제 완료
O2027060787,06/20/2027 17:59,P0105,3,148600,배송 완료
O2027060788,2027-06-27 04:16,P0134,4,37300,배송 완료
O2027060789,2027/06/04 15:33,P0164,5,82700,결제 완료
O2027060790,2027.06.11 02:50,P0193,1,100700,배송 완료
O2027060791,06/18/2027 13:07,P0223,2,20600,배송 완료
O2027060792,2027-06-25 00:24,P0252,3,47700,결제 완료
O2027060793,2027/06/02 11:41,P0282,4,92800,배송 완료
O2027060794,2027.06.09 22:58,P0311,5,147200,배송 완료
O2027060795,06/16/2027 09:15,P0016,1,24300,결제 완료
O2027060796,2027-06-23 20:32,P0045,2,67700,배송 완료
O2027060797,2027/06/30 07:49,P0074,3,90300,배송 완료
O2027060798,2027.06.07 18:06,P0104,4,144200,결제 완료
O2027060799,06/14/2027 05:23,P0133,5,35200,배송 완료
O2027060800,2027-06-21 16:40,P0163,1,79600,배송 완료
O2027060801,2027/06/28 03:57,P0192,2,97100,결제 완료
O2027060802,2027.06.05 14:14,P0222,3,18800,배송 완료
O2027060803,06/12/2027 01:31,P0251,4,62900,배송 완료
O2027060804,2027-06-19 12:48,P0281,5,89500,결제 완료
O2027060805,2027/06/26 23:05,P0310,1,142900,배송 완료
O2027060806,2027.06.03 10:22,P0015,2,22500,배송 완료
O2027060807,06/10/2027 21:39,P0044,3,65000,결제 완료
O2027060808,2027-06-17 08:56,P0073,4,87000,배송 완료
O2027060809,2027/06/24 19:13,P0103,5,139900,배송 완료
O2027060810,2027.06.01 06:30,P0132,1,33300,결제 완료
O2027060811,06/08/2027 17:47,P0162,2,76600,배송 완료
O2027060812,2027-06-15 04:04,P0191,3,93600,배송 완료
O2027060813,2027/06/22 15:21,P0221,4,17200,결제 완료
O2027060814,2027.06.29 02:38,P0250,5,60400,배송 완료
O2027060815,06/06/2027 13:55,P0280,1,86300,배송 완료
O2027060816,2027-06-13 00:12,P0309,2,138800,결제 완료
O2027060817,2027/06/20 11:29,P0014,3,20800,배송 완료
O2027060818,2027.06.27 22:46,P0043,4,62300,배송 완료
O2027060819,06/04/2027 09:03,P0072,5,83800,결제 완료
O2027060820,2027-06-11 20:20,P0102,1,135700,배송 완료
O2027060821,2027/06/18 07:37,P0131,2,31400,배송 완료
O2027060822,2027.06.25 18:54,P0161,3,73800,결제 완료
O2027060823,06/02/2027 05:11,P0190,4,125500,배송 완료
O2027060824,2027-06-09 16:28,P0220,5,15700,배송 완료
O2027060825,2027/06/16 03:45,P0249,1,57800,결제 완료
O2027060826,2027.06.23 14:02,P0279,2,83200,배송 완료
O2027060827,06/30/2027 01:19,P0308,3,134600,배송 완료
O2027060828,2027-06-07 12:36,P0013,4,19200,결제 완료
O2027060829,2027/06/14 23:53,P0042,5,59800,배송 완료
O2027060830,2027.06.21 10:10,P0071,1,80700,배송 완료
O2027060831,06/28/2027 21:27,P0101,2,131600,결제 완료
O2027060832,2027-06-05 08:44,P0130,3,41000,배송 완료
O2027060833,2027/06/12 19:01,P0160,4,70900,배송 완료
O2027060834,2027.06.19 06:18,P0189,5,121600,결제 완료
O2027060835,06/26/2027 17:35,P0219,1,14100,배송 완료
O2027060836,2027-06-03 04:52,P0248,2,55300,배송 완료
O2027060837,2027/06/10 15:09,P0278,3,80000,결제 완료
O2027060838,2027.06.17 02:26,P0307,4,130500,배송 완료
O2027060839,06/24/2027 13:43,P0012,5,17700,배송 완료
O2027060840,2027-06-01 00:00,P0041,1,57200,결제 완료
O2027060841,2027/06/08 11:17,P0070,2,77500,배송 완료
O2027060842,2027.06.15 22:34,P0100,3,127400,배송 완료
O2027060843,06/22/2027 09:51,P0129,4,38800,결제 완료
O2027060844,2027-06-29 20:08,P0159,5,68100,배송 완료
O2027060845,2027/06/06 07:25,P0188,1,117800,배송 완료
O2027060846,2027.06.13 18:42,P0218,2,12600,결제 완료
O2027060847,06/20/2027 05:59,P0247,3,52800,배송 완료
O2027060848,2027-06-27 16:16,P0277,4,77000,배송 완료
O2027060849,2027/06/04 03:33,P0306,5,126500,결제 완료
O2027060850,2027.06.11 14:50,P0011,1,16200,배송 완료
O2027060851,06/18/2027 01:07,P0040,2,54700,배송 완료
O2027060852,2027-06-25 12:24,P0069,3,103600,결제 완료
O2027060853,2027/06/02 23:41,P0099,4,123400,배송 완료
O2027060854,2027.06.09 10:58,P0128,5,36600,배송 완료
O2027060855,06/16/2027 21:15,P0158,1,65400,결제 완료
O2027060856,2027-06-23 08:32,P0187,2,114200,배송 완료
O2027060857,2027/06/30 19:49,P0217,3,11200,배송 완료
O2027060858,2027.06.07 06:06,P0246,4,50500,결제 완료
O2027060859,06/14/2027 17:23,P0276,5,73900,배송 완료
O2027060860,2027-06-21 04:40,P0305,1,122600,배송 완료
O2027060861,2027/06/28 15:57,P0010,2,20400,결제 완료
O2027060862,2027.06.05 02:14,P0039,3,52300,배송 완료
O2027060863,06/12/2027 13:31,P0068,4,100300,배송 완료
O2027060864,2027-06-19 00:48,P0098,5,119400,결제 완료
O2027060865,2027/06/26 11:05,P0127,1,34600,배송 완료
O2027060866,2027.06.03 22:22,P0157,2,62700,배송 완료
O2027060867,06/10/2027 09:39,P0186,3,110500,결제 완료
O2027060868,2027-06-17 20:56,P0216,4,9900,배송 완료
O2027060869,2027/06/24 07:13,P0245,5,48100,배송 완료
O2027060870,2027.06.01 18:30,P0275,1,71100,결제 완료
O2027060871,06/08/2027 05:47,P0304,2,118600,배송 완료
O2027060872,2027-06-15 16:04,P0009,3,18700,배송 완료
O2027060873,2027/06/22 03:21,P0038,4,50000,결제 완료
O2027060874,2027.06.29 14:38,P0067,5,96900,배송 완료
